name,weight,championship_name,weight_category_name,class_category_name,first,second,third,rank,use_gear,gender
木村 育史,58.75,第２５回 全日本ベンチプレス選手権大会,59kg,一般,202.5,203.5,-211.5,1,TRUE,male
竹花 真人,58.4,第２５回 全日本ベンチプレス選手権大会,59kg,一般,190,-202.5,-204,2,TRUE,male
大石 昌宏,58.75,第２５回 全日本ベンチプレス選手権大会,59kg,一般,152.5,162.5,172.5,3,TRUE,male
松岡 俊,57.85,第２５回 全日本ベンチプレス選手権大会,59kg,一般,155,162.5,170,4,TRUE,male
岩﨑 量也,58.4,第２５回 全日本ベンチプレス選手権大会,59kg,一般,-155,155,165,5,TRUE,male
中野 衛,58.65,第２５回 全日本ベンチプレス選手権大会,59kg,一般,162.5,-170,-170,6,TRUE,male
吉野 公二,58.6,第２５回 全日本ベンチプレス選手権大会,59kg,一般,147.5,-152.5,-155,7,TRUE,male
馬籠 徹,57.95,第２５回 全日本ベンチプレス選手権大会,59kg,一般,-132.5,132.5,-137.5,8,TRUE,male
谷内 政公,59,第２５回 全日本ベンチプレス選手権大会,59kg,一般,120,-127.5,-127.5,9,TRUE,male
中田 和夫,58.55,第２５回 全日本ベンチプレス選手権大会,59kg,一般,-180,-180,-195,,TRUE,male
池田 尚也,58.85,第２５回 全日本ベンチプレス選手権大会,59kg,一般,-200,-200,-204,,TRUE,male
中山 久幸,64.1,第２５回 全日本ベンチプレス選手権大会,66kg,一般,235,-237.5,-240,1,TRUE,male
広永 賢司,65.25,第２５回 全日本ベンチプレス選手権大会,66kg,一般,177.5,185,-192.5,2,TRUE,male
田中 勝之,65.95,第２５回 全日本ベンチプレス選手権大会,66kg,一般,170,180,-192.5,3,TRUE,male
西尾 純,65.8,第２５回 全日本ベンチプレス選手権大会,66kg,一般,150,162.5,-165,4,TRUE,male
伊藤 洋次郎,65.25,第２５回 全日本ベンチプレス選手権大会,66kg,一般,150,-162.5,-162.5,5,TRUE,male
石川 貴康,65.45,第２５回 全日本ベンチプレス選手権大会,66kg,一般,60,147.5,152.5,6,TRUE,male
山本 茂樹,65.65,第２５回 全日本ベンチプレス選手権大会,66kg,一般,-127.5,-127.5,-127.5,7,TRUE,male
石川 和裕,66,第２５回 全日本ベンチプレス選手権大会,66kg,一般,100,-152.5,-152.5,8,TRUE,male
髙橋 恵介,65.55,第２５回 全日本ベンチプレス選手権大会,66kg,一般,-230,-230,-235.5,,TRUE,male
石川 拓也,65.6,第２５回 全日本ベンチプレス選手権大会,66kg,一般,-190,-190,-190,,TRUE,male
児玉 大紀,72.5,第２５回 全日本ベンチプレス選手権大会,74kg,一般,257.5,270,285,1,TRUE,male
古川 公一,73.5,第２５回 全日本ベンチプレス選手権大会,74kg,一般,210,220,225,2,TRUE,male
三島 忠,73.6,第２５回 全日本ベンチプレス選手権大会,74kg,一般,215,-220,-222.5,3,TRUE,male
佐藤 信博,72.2,第２５回 全日本ベンチプレス選手権大会,74kg,一般,-202.5,202.5,207.5,4,TRUE,male
井出 光弘,73.55,第２５回 全日本ベンチプレス選手権大会,74kg,一般,-195,195,205,5,TRUE,male
松岡 紀佳,73.15,第２５回 全日本ベンチプレス選手権大会,74kg,一般,165,-180,182.5,6,TRUE,male
松岡 俊男,72.65,第２５回 全日本ベンチプレス選手権大会,74kg,一般,180,-187.5,-190,7,TRUE,male
武田 大輔,73.4,第２５回 全日本ベンチプレス選手権大会,74kg,一般,180,-190,-190,8,TRUE,male
大塚 誠,71.2,第２５回 全日本ベンチプレス選手権大会,74kg,一般,162.5,172.5,-190,9,TRUE,male
高畑 剛春,72.25,第２５回 全日本ベンチプレス選手権大会,74kg,一般,157.5,162.5,-170,10,TRUE,male
佐伯 博文,72.6,第２５回 全日本ベンチプレス選手権大会,74kg,一般,152.5,160,-162.5,11,TRUE,male
宮澤 賢次,71,第２５回 全日本ベンチプレス選手権大会,74kg,一般,-140,-140,,,TRUE,male
井上 和明,72.85,第２５回 全日本ベンチプレス選手権大会,74kg,一般,-230,-230,-230,,TRUE,male
鈴木 重成,73.5,第２５回 全日本ベンチプレス選手権大会,74kg,一般,-200,-200,-200,,TRUE,male
福田 将志,73.95,第２５回 全日本ベンチプレス選手権大会,74kg,一般,-240,-240,-240,,TRUE,male
酒井 康行,73.95,第２５回 全日本ベンチプレス選手権大会,74kg,一般,-240,-260,-272.5,,TRUE,male
福島 勇輝,80.6,第２５回 全日本ベンチプレス選手権大会,83kg,一般,270,-280,-280,1,TRUE,male
中島 聡,82.75,第２５回 全日本ベンチプレス選手権大会,83kg,一般,250,-257.5,-272.5,2,TRUE,male
上月 敦雄,81.8,第２５回 全日本ベンチプレス選手権大会,83kg,一般,-240,240,242.5,3,TRUE,male
奥谷 元哉,80.05,第２５回 全日本ベンチプレス選手権大会,83kg,一般,-232.5,235,240,4,TRUE,male
大室 豪槻,82.55,第２５回 全日本ベンチプレス選手権大会,83kg,一般,202.5,212.5,-222.5,5,TRUE,male
齋藤 学,82.4,第２５回 全日本ベンチプレス選手権大会,83kg,一般,-210,210,-215,6,TRUE,male
松永 浩二,79.95,第２５回 全日本ベンチプレス選手権大会,83kg,一般,-200,200,-212.5,7,TRUE,male
村野 知永,82.05,第２５回 全日本ベンチプレス選手権大会,83kg,一般,200,-210,-210,8,TRUE,male
山本 浩由,81.65,第２５回 全日本ベンチプレス選手権大会,83kg,一般,180,-190,-200,9,TRUE,male
人見 和則,81.95,第２５回 全日本ベンチプレス選手権大会,83kg,一般,-180,-180,180,10,TRUE,male
石本 直樹,82.7,第２５回 全日本ベンチプレス選手権大会,83kg,一般,180,-210,-217.5,11,TRUE,male
小口 浩毅,82.1,第２５回 全日本ベンチプレス選手権大会,83kg,一般,175,-182.5,-182.5,12,TRUE,male
鈴木 貴博,82.2,第２５回 全日本ベンチプレス選手権大会,83kg,一般,-255,-255,-272.5,,TRUE,male
吉川 望,92.65,第２５回 全日本ベンチプレス選手権大会,93kg,一般,-290,290,-300,1,TRUE,male
