name,weight,championship_name,weight_category_name,class_category_name,first,second,third,rank,use_gear,gender
山下 保樹,92.95,第２５回 全日本ベンチプレス選手権大会,93kg,一般,260,275,280,2,TRUE,male
林 克也,92,第２５回 全日本ベンチプレス選手権大会,93kg,一般,240,260,270,3,TRUE,male
葛西 昌彦,92.25,第２５回 全日本ベンチプレス選手権大会,93kg,一般,260,270,-280,4,TRUE,male
伊藤 禎浩,91.3,第２５回 全日本ベンチプレス選手権大会,93kg,一般,230,240,247.5,5,TRUE,male
小倉 健二,90.25,第２５回 全日本ベンチプレス選手権大会,93kg,一般,230,-245,-260,6,TRUE,male
廣岡 覚,90.7,第２５回 全日本ベンチプレス選手権大会,93kg,一般,-220,220,-232.5,7,TRUE,male
飯田 恭平,92.2,第２５回 全日本ベンチプレス選手権大会,93kg,一般,200,-210,210,8,TRUE,male
斉藤 勇紀,90.7,第２５回 全日本ベンチプレス選手権大会,93kg,一般,195,-205,205,9,TRUE,male
竹村 明久,91.6,第２５回 全日本ベンチプレス選手権大会,93kg,一般,200,-210,-222.5,10,TRUE,male
和田 髙平,104.25,第２５回 全日本ベンチプレス選手権大会,105kg,一般,275,280,282.5,1,TRUE,male
佐藤 優輝,95.35,第２５回 全日本ベンチプレス選手権大会,105kg,一般,265,275,280,2,TRUE,male
柴田 道郎,104.5,第２５回 全日本ベンチプレス選手権大会,105kg,一般,-270,270,-282.5,3,TRUE,male
山森 智行,104,第２５回 全日本ベンチプレス選手権大会,105kg,一般,265,-275,-282.5,4,TRUE,male
田中 哲也,103.9,第２５回 全日本ベンチプレス選手権大会,105kg,一般,220,225,230,5,TRUE,male
佐藤 宏樹,103.45,第２５回 全日本ベンチプレス選手権大会,105kg,一般,220,-235,-235,6,TRUE,male
目黒 英一,93.9,第２５回 全日本ベンチプレス選手権大会,105kg,一般,192.5,202.5,-220,7,TRUE,male
中谷 幸市,101.15,第２５回 全日本ベンチプレス選手権大会,105kg,一般,-240,-240,-252.5,,TRUE,male
伊藤 智,104.3,第２５回 全日本ベンチプレス選手権大会,105kg,一般,-265,-265,-282.5,,TRUE,male
後藤 衆治,113.55,第２５回 全日本ベンチプレス選手権大会,120kg,一般,265,290,-335,1,TRUE,male
岡山 三紀,110.05,第２５回 全日本ベンチプレス選手権大会,120kg,一般,240,-255,-255,2,TRUE,male
辻見 直樹,115.4,第２５回 全日本ベンチプレス選手権大会,120kg,一般,225,230,235,3,TRUE,male
原 新一,117.4,第２５回 全日本ベンチプレス選手権大会,120kg,一般,-330,-330,-335,,TRUE,male
三土手 大介,137.55,第２５回 全日本ベンチプレス選手権大会,120kg+,一般,285,300,-322.5,1,TRUE,male
福島 友佳子,46.1,第２５回 全日本ベンチプレス選手権大会,47kg,一般,122.5,130,133,1,TRUE,female
新井 拡子,46.55,第２５回 全日本ベンチプレス選手権大会,47kg,一般,107.5,-112.5,-112.5,2,TRUE,female
高橋 美和子,45.75,第２５回 全日本ベンチプレス選手権大会,47kg,一般,92.5,97.5,-100,3,TRUE,female
餘語 てるみ,46.45,第２５回 全日本ベンチプレス選手権大会,47kg,一般,85,90,-92.5,4,TRUE,female
大平 亜希,46.15,第２５回 全日本ベンチプレス選手権大会,47kg,一般,-70,70,-75,5,TRUE,female
白川 カオリ,51.85,第２５回 全日本ベンチプレス選手権大会,52kg,一般,125,132.5,-140.5,1,TRUE,female
増山 朱美,49.7,第２５回 全日本ベンチプレス選手権大会,52kg,一般,-105,105,-112.5,2,TRUE,female
宮本 智子,50.4,第２５回 全日本ベンチプレス選手権大会,52kg,一般,-97.5,-97.5,100,3,TRUE,female
寺村 美香,51.55,第２５回 全日本ベンチプレス選手権大会,52kg,一般,95,-97.5,-100,4,TRUE,female
髙橋 友美,50.85,第２５回 全日本ベンチプレス選手権大会,52kg,一般,85,90,-97.5,5,TRUE,female
機谷 礼美,51.25,第２５回 全日本ベンチプレス選手権大会,52kg,一般,80,-85,85,6,TRUE,female
長浜 恵美,56.45,第２５回 全日本ベンチプレス選手権大会,57kg,一般,125,-127.5,-127.5,1,TRUE,female
酒巻 知子,55.4,第２５回 全日本ベンチプレス選手権大会,57kg,一般,105,110,-125,2,TRUE,female
赤川 智子,55.7,第２５回 全日本ベンチプレス選手権大会,57kg,一般,95,100,102.5,3,TRUE,female
磯田 あかね,55.45,第２５回 全日本ベンチプレス選手権大会,57kg,一般,90,95,100,4,TRUE,female
渕上 宏恵,56.15,第２５回 全日本ベンチプレス選手権大会,57kg,一般,-80,80,-90,5,TRUE,female
井原 葉子,56.15,第２５回 全日本ベンチプレス選手権大会,57kg,一般,75,-80,-82.5,6,TRUE,female
北村 真由美,62.6,第２５回 全日本ベンチプレス選手権大会,63kg,一般,152.5,-161,-161,1,TRUE,female
古味 良子,62.65,第２５回 全日本ベンチプレス選手権大会,63kg,一般,-117.5,117.5,122.5,2,TRUE,female
奥谷 由香,62.25,第２５回 全日本ベンチプレス選手権大会,63kg,一般,82.5,-87.5,87.5,3,TRUE,female
工藤 智恵子,61.25,第２５回 全日本ベンチプレス選手権大会,63kg,一般,-80,85,-95,4,TRUE,female
林 和美,62.15,第２５回 全日本ベンチプレス選手権大会,63kg,一般,82.5,-87.5,-87.5,5,TRUE,female
澤 千代美,70.55,第２５回 全日本ベンチプレス選手権大会,72kg,一般,-102.5,102.5,112.5,1,TRUE,female
仲野 衣美,70.85,第２５回 全日本ベンチプレス選手権大会,72kg,一般,100,107.5,112.5,2,TRUE,female
小松 麻実,99.15,第２５回 全日本ベンチプレス選手権大会,84kg+,一般,-100,105,107.5,1,TRUE,female
